accountsservice-ubuntu-schemas/focal,focal,now 0.0.7+17.10.20170922-0ubuntu1 all [installed]
accountsservice/focal-updates,focal-security,now 0.6.55-0ubuntu12~20.04.4 amd64 [installed]
acl/focal,now 2.2.53-6 amd64 [installed]
acpi-support/focal,now 0.143 amd64 [installed]
acpid/focal,now 1:2.0.32-1ubuntu1 amd64 [installed]
activity-log-manager/focal,now 0.9.7-0ubuntu27 amd64 [installed]
adduser/focal,focal,now 3.118ubuntu2 all [installed]
adwaita-icon-theme/focal-updates,focal-updates,now 3.36.1-2ubuntu0.20.04.2 all [installed]
aglfn/focal,focal,now 1.7+git20191031.4036a9c-2 all [installed,automatic]
aisleriot/focal,now 1:3.22.9-1 amd64 [installed]
alsa-base/focal,focal,now 1.0.25+dfsg-0ubuntu5 all [installed]
alsa-topology-conf/focal,focal,now 1.2.2-1 all [installed]
alsa-ucm-conf/focal-updates,focal-updates,now 1.2.2-1ubuntu0.7 all [installed]
alsa-utils/focal-updates,now 1.2.2-1ubuntu2.1 amd64 [installed]
amd64-microcode/focal,now 3.20191218.1ubuntu1 amd64 [installed]
anacron/focal,now 2.3-29 amd64 [installed]
apg/focal,now 2.2.3.dfsg.1-5 amd64 [installed]
app-install-data-partner/focal,focal,now 19.04 all [installed]
apparmor/focal-updates,now 2.13.3-7ubuntu5.1 amd64 [installed]
apport-gtk/focal-updates,focal-updates,now 2.20.11-0ubuntu27.17 all [installed]
apport-symptoms/focal,focal,now 0.23 all [installed]
apport/focal-updates,focal-updates,now 2.20.11-0ubuntu27.17 all [installed]
appstream/focal,now 0.12.10-2 amd64 [installed]
apt-config-icons-hidpi/focal,focal,now 0.12.10-2 all [installed]
apt-config-icons/focal,focal,now 0.12.10-2 all [installed]
apt-transport-https/focal-updates,focal-updates,now 2.0.5 all [installed]
apt-utils/focal-updates,now 2.0.5 amd64 [installed]
apt/focal-updates,now 2.0.5 amd64 [installed]
aptdaemon-data/focal-updates,focal-updates,focal-security,focal-security,now 1.1.1+bzr982-0ubuntu32.3 all [installed]
aptdaemon/focal-updates,focal-updates,focal-security,focal-security,now 1.1.1+bzr982-0ubuntu32.3 all [installed]
aptitude-common/focal,focal,now 0.8.12-1ubuntu4 all [installed]
aptitude/focal,now 0.8.12-1ubuntu4 amd64 [installed]
apturl-common/focal,now 0.5.2ubuntu19 amd64 [installed]
apturl/focal,now 0.5.2ubuntu19 amd64 [installed]
aspell-en/focal,focal,now 2018.04.16-0-1 all [installed]
aspell/focal,now 0.60.8-1build1 amd64 [installed]
asymptote-doc/focal,focal,now 2.62-1 all [installed,automatic]
asymptote/focal,now 2.62-1 amd64 [installed,automatic]
at-spi2-core/focal,now 2.36.0-2 amd64 [installed]
atril-common/focal,focal,now 1.24.0-1 all [installed]
atril/focal,now 1.24.0-1 amd64 [installed]
avahi-autoipd/focal,now 0.7-4ubuntu7 amd64 [installed]
avahi-daemon/focal,now 0.7-4ubuntu7 amd64 [installed]
avahi-utils/focal,now 0.7-4ubuntu7 amd64 [installed]
baobab/focal,now 3.34.0-1 amd64 [installed]
base-files/focal-updates,now 11ubuntu5.3 amd64 [installed]
base-passwd/focal,now 3.5.47 amd64 [installed]
bash-completion/focal,focal,now 1:2.10-1ubuntu1 all [installed]
bash/focal-updates,now 5.0-6ubuntu1.1 amd64 [installed]
bc/focal,now 1.07.1-2build1 amd64 [installed]
biber/focal,focal,now 2.14-1 all [installed,automatic]
bind9-dnsutils/focal-updates,focal-security,now 1:9.16.1-0ubuntu2.8 amd64 [installed]
bind9-host/focal-updates,focal-security,now 1:9.16.1-0ubuntu2.8 amd64 [installed]
bind9-libs/focal-updates,focal-security,now 1:9.16.1-0ubuntu2.8 amd64 [installed]
binutils-common/focal-updates,focal-security,now 2.34-6ubuntu1.1 amd64 [installed]
binutils-x86-64-linux-gnu/focal-updates,focal-security,now 2.34-6ubuntu1.1 amd64 [installed]
binutils/focal-updates,focal-security,now 2.34-6ubuntu1.1 amd64 [installed]
bison/focal,now 2:3.5.1+dfsg-1 amd64 [installed]
bluez-cups/focal-updates,now 5.53-0ubuntu3.1 amd64 [installed]
bluez-obexd/focal-updates,now 5.53-0ubuntu3.1 amd64 [installed]
bluez/focal-updates,now 5.53-0ubuntu3.1 amd64 [installed]
bolt/focal-updates,now 0.8-4ubuntu1 amd64 [installed]
branding-ubuntu/focal,focal,now 0.10 all [installed]
brltty/focal,now 6.0+dfsg-4ubuntu6 amd64 [installed]
bsdmainutils/focal,now 11.1.2ubuntu3 amd64 [installed]
bsdutils/focal-updates,now 1:2.34-0.1ubuntu9.1 amd64 [installed]
bubblewrap/focal,now 0.4.0-1ubuntu4 amd64 [installed]
build-essential/focal-updates,now 12.8ubuntu1.1 amd64 [installed]
busybox-initramfs/focal-updates,now 1:1.30.1-4ubuntu6.3 amd64 [installed]
busybox-static/focal-updates,now 1:1.30.1-4ubuntu6.3 amd64 [installed]
bzip2/focal,now 1.0.8-2 amd64 [installed]
ca-certificates-java/focal,focal,now 20190405ubuntu1 all [installed]
ca-certificates/focal-updates,focal-updates,focal-security,focal-security,now 20210119~20.04.1 all [installed]
cabextract/focal,now 1.9-3 amd64 [installed]
calf-plugins/focal,now 0.90.3-1build2 amd64 [installed]
cargo/focal-updates,focal-security,now 0.47.0-1~exp1ubuntu1~20.04.1 amd64 [installed]
cheese-common/focal-updates,focal-updates,now 3.34.0-1ubuntu1 all [installed]
cheese/focal-updates,now 3.34.0-1ubuntu1 amd64 [installed]
chktex/focal,now 1.7.6-3 amd64 [installed,automatic]
chrome-gnome-shell/focal,focal,now 10.1-5 all [installed]
chromium-codecs-ffmpeg-extra/focal-updates,now 1:85.0.4183.83-0ubuntu0.20.04.2 amd64 [installed]
cm-super-minimal/focal,focal,now 0.3.4-15 all [installed,automatic]
cm-super/focal,focal,now 0.3.4-15 all [installed,automatic]
colord-data/focal,focal,now 1.4.4-2 all [installed]
colord/focal,now 1.4.4-2 amd64 [installed]
command-not-found/focal-updates,focal-updates,now 20.04.4 all [installed]
console-setup-linux/focal,focal,now 1.194ubuntu3 all [installed]
console-setup/focal,focal,now 1.194ubuntu3 all [installed]
context-modules/focal,focal,now 20190710-1 all [installed,automatic]
context/focal,focal,now 2019.03.21.20190425-2 all [installed,automatic]
coreutils/focal,now 8.30-3ubuntu2 amd64 [installed]
cpio/focal,now 2.13+dfsg-2 amd64 [installed]
cpp-7/focal,now 7.5.0-6ubuntu2 amd64 [installed]
cpp-9/focal-updates,focal-security,now 9.3.0-17ubuntu1~20.04 amd64 [installed]
cpp/focal,now 4:9.3.0-1ubuntu2 amd64 [installed]
cracklib-runtime/focal,now 2.9.6-3.2 amd64 [installed]
crda/focal,now 3.18-1build1 amd64 [installed]
cron/focal,now 3.0pl1-136ubuntu1 amd64 [installed]
cups-browsed/focal,now 1.27.4-1 amd64 [installed]
cups-bsd/focal-updates,focal-security,now 2.3.1-9ubuntu1.1 amd64 [installed]
cups-client/focal-updates,focal-security,now 2.3.1-9ubuntu1.1 amd64 [installed]
